customer_id,first_name,last_name,email,city,postal_code,registration_date,opted_in_marketing,_ingested_at
CUS00001,Sander,De Smedt,cus00001@example.com,Liège,5506,2022-08-16,0,2026-04-16 03:15:00
CUS00002,Laura,Hendrickx,cus00002@example.com,Brugge,9935,2024-12-15,0,2026-04-16 03:15:00
CUS00003,Wouter,De Smedt,cus00003@example.com,Brugge,2535,2022-11-24,0,2026-04-16 03:15:00
CUS00004,Lotte,Dubois,cus00004@example.com,Gent,9928,2024-11-26,1,2026-04-16 03:15:00
CUS00005,Julie,Simon,cus00005@example.com,Antwerpen,1106,2024-12-21,0,2026-04-16 03:15:00
CUS00006,Wouter,Mertens,cus00006@example.com,Antwerpen,3547,2022-04-18,0,2026-04-16 03:15:00
CUS00007,Elisa,Janssen,cus00007@example.com,Brugge,7224,2021-12-05,0,2026-04-16 03:15:00
CUS00008,Stef,Simon,cus00008@example.com,Antwerpen,1711,2024-03-12,1,2026-04-16 03:15:00
CUS00009,Sander,Wouters,cus00009@example.com,Brugge,5803,2023-03-15,1,2026-04-16 03:15:00
CUS00010,Stef,Simon,cus00010@example.com,Gent,2139,2021-05-18,0,2026-04-16 03:15:00
CUS00011,Kevin,Vermeersch,cus00011@example.com,Antwerpen,2307,2022-07-02,0,2026-04-16 03:15:00
CUS00012,Hanne,Claes,cus00012@example.com,Leuven,6977,2025-08-23,0,2026-04-16 03:15:00
CUS00013,Stef,Maes,cus00013@example.com,Liège,5374,2024-02-18,0,2026-04-16 03:15:00
CUS00014,Thomas,Dubois,cus00014@example.com,Liège,5010,2022-10-17,0,2026-04-16 03:15:00
CUS00015,Hanne,Claes,cus00015@example.com,Liège,4598,2023-08-14,1,2026-04-16 03:15:00
CUS00016,Pieter,Maes,cus00016@example.com,Namur,1525,2021-06-25,1,2026-04-16 03:15:00
CUS00017,Sophie,Janssen,cus00017@example.com,Gent,6155,2023-12-17,0,2026-04-16 03:15:00
CUS00018,Arne,Wouters,cus00018@example.com,Liège,8517,2022-07-14,0,2026-04-16 03:15:00
CUS00019,Laura,Maes,cus00019@example.com,Liège,9830,2024-09-21,1,2026-04-16 03:15:00
CUS00020,Wouter,Simon,cus00020@example.com,Leuven,6930,2022-01-08,0,2026-04-16 03:15:00
CUS00021,Arne,Janssen,cus00021@example.com,Namur,1771,2025-06-07,0,2026-04-16 03:15:00
CUS00022,Thomas,Vermeersch,cus00022@example.com,Liège,7916,2025-05-08,1,2026-04-16 03:15:00
CUS00023,Hanne,Wouters,cus00023@example.com,Brussel,8668,2025-11-07,1,2026-04-16 03:15:00
CUS00024,Lotte,Laurent,cus00024@example.com,Liège,2876,2024-10-19,1,2026-04-16 03:15:00
CUS00025,Sophie,Vermeersch,cus00025@example.com,Liège,6573,2021-12-31,0,2026-04-16 03:15:00
CUS00026,Wouter,Peeters,cus00026@example.com,Leuven,1053,2024-07-24,1,2026-04-16 03:15:00
CUS00027,Thomas,Dubois,cus00027@example.com,Brugge,5889,2023-05-27,1,2026-04-16 03:15:00
CUS00028,Nathalie,Peeters,cus00028@example.com,Antwerpen,3646,2022-10-17,1,2026-04-16 03:15:00
CUS00029,Lotte,Simon,cus00029@example.com,Antwerpen,9005,2021-11-04,0,2026-04-16 03:15:00
CUS00030,Stef,Bogaert,cus00030@example.com,Namur,6038,2025-07-31,0,2026-04-16 03:15:00
CUS00031,Kevin,Simon,cus00031@example.com,Brugge,2403,2025-11-19,1,2026-04-16 03:15:00
CUS00032,Emma,Vermeersch,cus00032@example.com,Brussel,3060,2021-08-19,0,2026-04-16 03:15:00
CUS00033,Arne,Dubois,cus00033@example.com,Gent,5342,2022-07-05,1,2026-04-16 03:15:00
